product_id,brand,title,price,category,rating,image_url,product_url
B0CJ9HFD8G,Casio,G-Shock GMA-S2100MD-4AER Watch GMA-S Series,446.0,Watches,4.2,https://m.media-amazon.com/images/I/61e8sQpsFdL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CJ9HFD8G
B0CQTN5K7W,NINE WEST,Black Rainey Mini Crossbody Flap Bag,113.08,Outlet,,https://m.media-amazon.com/images/I/41PVN3kkFWL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CQTN5K7W
B0DRVZ1YWH,ALDO,Women's Ybelihar HANDBAG,195.0,New season,3.7,https://m.media-amazon.com/images/I/41aSapJlhpL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DRVZ1YWH
B0DJNNXGTV,ANALEAF,Mens Casual Shoes Fashion Dress Sneakers Lightweight Comfortable Lace-up Shoes,199.0,Shoes,4.4,https://m.media-amazon.com/images/I/71uRw1Ev69L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DJNNXGTV
B0CHHWW728,Pomelo Best,womens D7128 handbags,224.3,Most-Loved Fashion,4.6,https://m.media-amazon.com/images/I/713V7WY6WxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CHHWW728
B0B528WH3V,Deniklo,Printed V Neck T-Shirt For Men,10.28,Made for Amazon,4.0,https://m.media-amazon.com/images/I/81hruTcib7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B528WH3V
B07VRNSHTV,Ababalaya,Womens' Color Block Moderate Cover 2 Piece Swimsuit Burkini,110.08,Most-Loved Fashion,4.2,https://m.media-amazon.com/images/I/51mnrwisquL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07VRNSHTV
B001JK1P3G,Urban Classics,"mens Tall Tee Oversized T-Shirt Oversized Short Sleeves T-Shirt with Dropped Shoulders, 100% Jersey Cotton (pack of 1)",49.0,Most-Loved Fashion,4.4,https://m.media-amazon.com/images/I/71Baq3HpovL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001JK1P3G
B08FT5L9DQ,Kuston,Sports Gym Bag with Shoes Compartment &Wet Pocket Gym Duffel Bag Overnight Bag for Men and Women,85.99,Luggage,4.5,https://m.media-amazon.com/images/I/71SUVgnw8ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08FT5L9DQ
B0002CQDZW,Targus,Targus Laptop Backpack,116.9,New season,4.5,https://m.media-amazon.com/images/I/71Oo1mKEOiL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0002CQDZW
